"ORGANIC FUEL WHEY PROTEIN POWDER, UPC: 093966006124"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"2.0 SCOOPS = 35.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,140,400
"Protein",g,--,--,26.00,74.29
"Total lipid (fat)",g,--,--,2.00,5.71
"Carbohydrate, by difference",g,--,--,3.00,8.57
"Fiber, total dietary",g,--,--,1.0,2.9
"Sugars, total",g,--,--,3.00,8.57
"Sugars, added",g,--,--,1.0,2.9
Minerals
"Calcium, Ca",mg,--,--,199,569
"Iron, Fe",mg,--,--,1.00,2.86
"Potassium, K",mg,--,--,211,603
"Sodium, Na",mg,--,--,55,157
Vitamins
"Vitamin D",IU,--,--,0,0
Lipids
"Fatty acids, total saturated",g,--,--,0.000,0.000
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,65,186
Amino Acids
Other
Ingredients
"ORGANIC WHEY PROTEIN CONCENTRATE, ORGANIC FAIR TRADE DUTCH COCOA, ORGANIC FAIR TRADE UNREFINED CANE SUGAR, ORGANIC SUNFLOWER LECITHIN, ORGANIC STEVIA." Date available: 06/11/2018 Date last updated by company: 06/11/2018
