"Huel"
"Energy",kcal,400
"Protein",g,30
"Total lipid (fat)",g,13
"Carbohydrate, by difference",g,37
"Fiber, total dietary",g,7.7
"Sugars, total",g,1.2
"Calcium, Ca",mg,200
"Iron, Fe",mg,7.8
"Magnesium, Mg",mg,122
"Phosphorus, P",mg,372
"Potassium, K",mg,700
"Sodium, Na",mg,280
"Zinc, Zn",mg,4.0
"Copper, Cu",mg,0.3
"Manganese, Mn",mg,1.8
"Selenium, Se",µg,20.
"Vitamin C, total ascorbic acid",mg,60
"Thiamin",mg,0.3
"Riboflavin",mg,0.3
"Niacin",mg,3.2
"Pantothenic acid",mg,1.2
"Vitamin B-6",mg,0.3
"Folate, total",µg,80
"Choline, total",mg,110
"Vitamin B-12",µg,0.8
"Vitamin A, RAE",µg,160
"Vitamin E (alpha-tocopherol)",mg,2.4
"Vitamin D (D2 + D3)",µg,3
"Vitamin K (phylloquinone)",µg,15
"Fatty acids, total saturated",g,2.3
"18:2 undifferentiated",g,3.1
"18:3 undifferentiated",g,3.2
"Cholesterol",mg,0.0
