"Myprotein Powder"
"Energy",kcal,412
"Protein",g,82
"Total lipid (fat)",g,7.5
"Fatty acids, total saturated",g,5
"Carbohydrate, by difference",g,4
"Fiber, total dietary",g,0
"Sugars, total",g,4
"Sodium, Na",mg,200
"Calcium, Ca",mg,300
"Iron, Fe",mg,0.36
"Magnesium, Mg",mg,24
"Phosphorus, P",mg,200
"Potassium, K",mg,95
"Sodium, Na",mg,150
Vitamins
"Vitamin C, total ascorbic acid",mg,1.2
"Vitamin A, IU",IU,0
Lipids
"Fatty acids, total saturated",g,0.000
"Fatty acids, total trans",g,0.000
"Cholesterol",mg,15

